ui name,user intent,capability,java controler name,description,api name,end point
CompanyLocation Module,Get Active Locations,CompanyLocation,CompanyLocationController,Auto-generated OpenAPI description for Get Active Locations,getActiveLocations,/api/admin/company-locations/active
CompanyLocation Module,Get Inactive Locations,CompanyLocation,CompanyLocationController,Auto-generated OpenAPI description for Get Inactive Locations,getInactiveLocations,/api/admin/company-locations/inactive
CompanyLocation Module,Update Location,CompanyLocation,CompanyLocationController,Auto-generated OpenAPI description for Update Location,updateLocation,/api/admin/company-locations/{id}
CompanyLocation Module,Delete Location,CompanyLocation,CompanyLocationController,Auto-generated OpenAPI description for Delete Location,deleteLocation,/api/admin/company-locations/{id}
CompanyLocation Module,Permanently Delete Location,CompanyLocation,CompanyLocationController,Auto-generated OpenAPI description for Permanently Delete Location,permanentlyDeleteLocation,/api/admin/company-locations/{id}/permanent
CompanyLocation Module,Search Locations,CompanyLocation,CompanyLocationController,Auto-generated OpenAPI description for Search Locations,searchLocations,/api/admin/company-locations/search
AppointmentLetter Module,If,AppointmentLetter,AppointmentLetterController,Auto-generated OpenAPI description for If,generateAppointment,/api/v1/letters/appointment/{applicantId}/{templateName}
AppointmentLetter Module,API Endpoint,AppointmentLetter,AppointmentLetterController,Auto-generated OpenAPI description,generateAppointmentPdf,/api/v1/letters/appointment/pdf/{applicantId}/{templateName}
SalaryComponent Module,Update,SalaryComponent,SalaryComponentController,Auto-generated OpenAPI description for Update,update,/api/salary-components/{id}
SalaryComponent Module,Delete,SalaryComponent,SalaryComponentController,Auto-generated OpenAPI description for Delete,delete,/api/salary-components/{id}
Notification Module,Get Notifications,Notification,NotificationController,Auto-generated OpenAPI description for Get Notifications,getNotifications,/api/notifications/{employeeId}
Notification Module,Mark As Read,Notification,NotificationController,Auto-generated OpenAPI description for Mark As Read,markAsRead,/api/notifications/read/{id}
Notification Module,Mark All As Read,Notification,NotificationController,Auto-generated OpenAPI description for Mark All As Read,markAllAsRead,/api/notifications/read-all/{employeeId}
Department Module,Get Department By Id,Department,DepartmentController,Auto-generated OpenAPI description for Get Department By Id,getDepartmentById,/api/departments/{id}
Department Module,API Endpoint,Department,DepartmentController,Auto-generated OpenAPI description,deleteDepartment,/api/departments/{id}
ITDeclarationCard Module,Get All Cards,ITDeclarationCard,ITDeclarationCardController,Auto-generated OpenAPI description for Get All Cards,getAllCards,/api/it-declaration-cards/all
ITDeclarationCard Module,Get All Cards Absolute,ITDeclarationCard,ITDeclarationCardController,Auto-generated OpenAPI description for Get All Cards Absolute,getAllCardsAbsolute,/api/it-declaration-cards/absolute-all
ITDeclarationCard Module,Get Active Cards,ITDeclarationCard,ITDeclarationCardController,Auto-generated OpenAPI description for Get Active Cards,getActiveCards,/api/it-declaration-cards/active
ITDeclarationCard Module,Clone Configuration,ITDeclarationCard,ITDeclarationCardController,Auto-generated OpenAPI description for Clone Configuration,cloneConfiguration,/api/it-declaration-cards/clone
ITDeclarationCard Module,Save Card,ITDeclarationCard,ITDeclarationCardController,Auto-generated OpenAPI description for Save Card,saveCard,/api/it-declaration-cards/save
ITDeclarationCard Module,Delete Card,ITDeclarationCard,ITDeclarationCardController,Auto-generated OpenAPI description for Delete Card,deleteCard,/api/it-declaration-cards/{id}
Customer Module,Download Msa,Customer,CustomerController,Auto-generated OpenAPI description for Download Msa,downloadMSA,/api/customers/{id}/download
Customer Module,Get Customer By Id,Customer,CustomerController,Auto-generated OpenAPI description for Get Customer By Id,getCustomerById,/api/customers/{id}
Customer Module,Get Customers For Employee,Customer,CustomerController,Auto-generated OpenAPI description for Get Customers For Employee,getCustomersForEmployee,/api/customers/employee/{employeeId}
Customer Module,Update Customer,Customer,CustomerController,Auto-generated OpenAPI description for Update Customer,updateCustomer,/api/customers/{id}
Resignation Module,Submit Resignation,Resignation,ResignationController,Auto-generated OpenAPI description for Submit Resignation,submitResignation,/api/v1/exit-management/resignations
Resignation Module,Get All Resignations,Resignation,ResignationController,Auto-generated OpenAPI description for Get All Resignations,getAllResignations,/api/v1/exit-management/resignations
Resignation Module,Get Resignation By Id,Resignation,ResignationController,Auto-generated OpenAPI description for Get Resignation By Id,getResignationById,/api/v1/exit-management/resignations/{id}
Resignation Module,Update Resignation,Resignation,ResignationController,Auto-generated OpenAPI description for Update Resignation,updateResignation,/api/v1/exit-management/resignations/{id}
Resignation Module,Delete Resignation,Resignation,ResignationController,Auto-generated OpenAPI description for Delete Resignation,deleteResignation,/api/v1/exit-management/resignations/{id}
Resignation Module,Get Manager Pending Resignations,Resignation,ResignationController,Auto-generated OpenAPI description for Get Manager Pending Resignations,getManagerPendingResignations,/api/v1/exit-management/manager/pending-resignations
Resignation Module,Approve Resignation By Manager,Resignation,ResignationController,Auto-generated OpenAPI description for Approve Resignation By Manager,approveResignationByManager,/api/v1/exit-management/manager/resignations/{id}/approve
Resignation Module,Reject Resignation By Manager,Resignation,ResignationController,Auto-generated OpenAPI description for Reject Resignation By Manager,rejectResignationByManager,/api/v1/exit-management/manager/resignations/{id}/reject
Resignation Module,Get Reviewer Pending Resignations,Resignation,ResignationController,Auto-generated OpenAPI description for Get Reviewer Pending Resignations,getReviewerPendingResignations,/api/v1/exit-management/reviewer/pending-resignations
Resignation Module,Approve Resignation By Reviewer,Resignation,ResignationController,Auto-generated OpenAPI description for Approve Resignation By Reviewer,approveResignationByReviewer,/api/v1/exit-management/reviewer/resignations/{id}/approve
Resignation Module,Reject Resignation By Reviewer,Resignation,ResignationController,Auto-generated OpenAPI description for Reject Resignation By Reviewer,rejectResignationByReviewer,/api/v1/exit-management/reviewer/resignations/{id}/reject
Resignation Module,Approve Resignation By Hr,Resignation,ResignationController,Auto-generated OpenAPI description for Approve Resignation By Hr,approveResignationByHr,/api/v1/exit-management/hr/resignations/{id}/approve
Resignation Module,Reject Resignation By Hr,Resignation,ResignationController,Auto-generated OpenAPI description for Reject Resignation By Hr,rejectResignationByHr,/api/v1/exit-management/hr/resignations/{id}/reject
Resignation Module,Get Hr Assigned Resignations,Resignation,ResignationController,Auto-generated OpenAPI description for Get Hr Assigned Resignations,getHRAssignedResignations,/api/v1/exit-management/hr/approved-resignations
Resignation Module,Edit Lwd By Hr,Resignation,ResignationController,Auto-generated OpenAPI description for Edit Lwd By Hr,editLwdByHr,/api/v1/exit-management/hr/resignations/{id}/edit-lwd
Resignation Module,Edit Lwd By Manager,Resignation,ResignationController,Auto-generated OpenAPI description for Edit Lwd By Manager,editLwdByManager,/api/v1/exit-management/manager/resignations/{id}/edit-lwd
Resignation Module,Get Finance Pending Resignations,Resignation,ResignationController,Auto-generated OpenAPI description for Get Finance Pending Resignations,getFinancePendingResignations,/api/v1/exit-management/finance/pending-resignations
Resignation Module,Submit Hr Clearance,Resignation,ResignationController,Auto-generated OpenAPI description for Submit Hr Clearance,submitHrClearance,/api/v1/exit-management/hr/clearance/{id}
Resignation Module,Submit Admin Clearance,Resignation,ResignationController,Auto-generated OpenAPI description for Submit Admin Clearance,submitAdminClearance,/api/v1/exit-management/admin/clearance/{id}
Resignation Module,If,Resignation,ResignationController,Auto-generated OpenAPI description for If,downloadResignationDocument,/api/v1/exit-management/document/{id}
Resignation Module,Submit Finance Settlement,Resignation,ResignationController,Auto-generated OpenAPI description for Submit Finance Settlement,submitFinanceSettlement,/api/v1/exit-management/finance/final-settlement/{id}
Resignation Module,Reject By Admin,Resignation,ResignationController,Auto-generated OpenAPI description for Reject By Admin,rejectByAdmin,/api/v1/exit-management/admin/resignations/{id}/reject
Resignation Module,Reject Resignation By Finance,Resignation,ResignationController,Auto-generated OpenAPI description for Reject Resignation By Finance,rejectResignationByFinance,/api/v1/exit-management/finance/resignations/{id}/reject
Resignation Module,Get Pending Resignations For Admin,Resignation,ResignationController,Auto-generated OpenAPI description for Get Pending Resignations For Admin,getPendingResignationsForAdmin,/api/v1/exit-management/admin/pending-resignations
Resignation Module,Update Status,Resignation,ResignationController,Auto-generated OpenAPI description for Update Status,updateStatus,/api/v1/exit-management/resignations/{id}/update-status
Resignation Module,Add Exit Reason,Resignation,ResignationController,Auto-generated OpenAPI description for Add Exit Reason,addExitReason,/api/v1/exit-management/exit-reasons
Resignation Module,Get All Reasons,Resignation,ResignationController,Auto-generated OpenAPI description for Get All Reasons,getAllReasons,/api/v1/exit-management/exit-reasons
Resignation Module,Get Resignations Report,Resignation,ResignationController,Auto-generated OpenAPI description for Get Resignations Report,getResignationsReport,/api/v1/exit-management/reports
Resignation Module,Delete Exit Reason,Resignation,ResignationController,Auto-generated OpenAPI description for Delete Exit Reason,deleteExitReason,/api/v1/exit-management/exit-reasons/{id}
Resignation Module,Get Notice Period,Resignation,ResignationController,Auto-generated OpenAPI description for Get Notice Period,getNoticePeriod,/api/v1/exit-management/notice-period
Resignation Module,Update Notice Period,Resignation,ResignationController,Auto-generated OpenAPI description for Update Notice Period,updateNoticePeriod,/api/v1/exit-management/notice-period
Resignation Module,Add Exit Question,Resignation,ResignationController,Auto-generated OpenAPI description for Add Exit Question,addExitQuestion,/api/v1/exit-management/exit-questions
Resignation Module,Get Exit Questions,Resignation,ResignationController,Auto-generated OpenAPI description for Get Exit Questions,getExitQuestions,/api/v1/exit-management/exit-questions
Resignation Module,Delete Exit Question,Resignation,ResignationController,Auto-generated OpenAPI description for Delete Exit Question,deleteExitQuestion,/api/v1/exit-management/exit-questions/{id}
Resignation Module,Submit It Clearance,Resignation,ResignationController,Auto-generated OpenAPI description for Submit It Clearance,submitItClearance,/api/v1/exit-management/it/clearance/{id}
Resignation Module,Adjust Lwd For Ui,Resignation,ResignationController,Auto-generated OpenAPI description for Adjust Lwd For Ui,adjustLwdForUi,/api/v1/exit-management/adjust-lwd
Resignation Module,Trigger Exits Manually,Resignation,ResignationController,Auto-generated OpenAPI description for Trigger Exits Manually,triggerExitsManually,/api/v1/exit-management/resignations/trigger-exits
LeaveDraft Module,Update Draft,LeaveDraft,LeaveDraftController,Auto-generated OpenAPI description for Update Draft,updateDraft,/api/leaves/drafts/{id}
LeaveDraft Module,Get Drafts,LeaveDraft,LeaveDraftController,Auto-generated OpenAPI description for Get Drafts,getDrafts,/api/leaves/drafts/{employeeId}
LeaveDraft Module,Get Draft By Id,LeaveDraft,LeaveDraftController,Auto-generated OpenAPI description for Get Draft By Id,getDraftById,/api/leaves/drafts/single/{id}
LeaveDraft Module,Http Headers,LeaveDraft,LeaveDraftController,Auto-generated OpenAPI description for Http Headers,downloadDraftFile,/api/leaves/drafts/download/{id}
LeaveDraft Module,Delete Draft,LeaveDraft,LeaveDraftController,Auto-generated OpenAPI description for Delete Draft,deleteDraft,/api/leaves/drafts/{id}
ClearanceChecklist Module,Get Checklist,ClearanceChecklist,ClearanceChecklistController,Auto-generated OpenAPI description for Get Checklist,getChecklist,/api/clearance/checklist/{department}
ClearanceChecklist Module,Delete Checklist,ClearanceChecklist,ClearanceChecklistController,Auto-generated OpenAPI description for Delete Checklist,deleteChecklist,/api/clearance/checklist/{id}
TestTransaction Module,Test Bulk Allocation,TestTransaction,TestTransactionController,Auto-generated OpenAPI description for Test Bulk Allocation,testBulkAllocation,/api/test/bulk-allocation-test
AttendanceAnalytics Module,Get My Analytics,AttendanceAnalytics,AttendanceAnalyticsController,Auto-generated OpenAPI description for Get My Analytics,getMyAnalytics,/api/v1/analytics/me
AttendanceAnalytics Module,Get Deep Analytics,AttendanceAnalytics,AttendanceAnalyticsController,Auto-generated OpenAPI description for Get Deep Analytics,getDeepAnalytics,/api/v1/analytics/deep
AttendanceAnalytics Module,Get Team Members,AttendanceAnalytics,AttendanceAnalyticsController,Auto-generated OpenAPI description for Get Team Members,getTeamMembers,/api/v1/analytics/team-members
AttendanceAnalytics Module,Get Team Analytics,AttendanceAnalytics,AttendanceAnalyticsController,Auto-generated OpenAPI description for Get Team Analytics,getTeamAnalytics,/api/v1/analytics/team
AttendanceAnalytics Module,Get Deep Analytics Test,AttendanceAnalytics,AttendanceAnalyticsController,Auto-generated OpenAPI description for Get Deep Analytics Test,getDeepAnalyticsTest,/api/v1/analytics/deep-test
Location Module,Add Location,Location,LocationController,Auto-generated OpenAPI description for Add Location,addLocation,/api/v1/locations/add
Location Module,Get All Locations,Location,LocationController,Auto-generated OpenAPI description for Get All Locations,getAllLocations,/api/v1/locations/all
Delegation Module,Save Delegation,Delegation,DelegationController,Auto-generated OpenAPI description for Save Delegation,saveDelegation,/api/delegations/save
Delegation Module,Get Delegations By Delegator,Delegation,DelegationController,Auto-generated OpenAPI description for Get Delegations By Delegator,getDelegationsByDelegator,/api/delegations/delegator/{delegatorId}
Delegation Module,Get Delegations By Delegate,Delegation,DelegationController,Auto-generated OpenAPI description for Get Delegations By Delegate,getDelegationsByDelegate,/api/delegations/delegate/{delegateId}
Delegation Module,Delete Delegation,Delegation,DelegationController,Auto-generated OpenAPI description for Delete Delegation,deleteDelegation,/api/delegations/delete/{id}
AssetAudit Module,Delete Audit Log,AssetAudit,AssetAuditController,Auto-generated OpenAPI description for Delete Audit Log,deleteAuditLog,/api/assets/audit-logs/{id}
AssetAudit Module,Delete All Audit Logs,AssetAudit,AssetAuditController,Auto-generated OpenAPI description for Delete All Audit Logs,deleteAllAuditLogs,/api/assets/audit-logs/all
AssetAudit Module,Delete Audit Logs Older Than,AssetAudit,AssetAuditController,Auto-generated OpenAPI description for Delete Audit Logs Older Than,deleteAuditLogsOlderThan,/api/assets/audit-logs/older-than
TravelRequestDraft Module,Get Drafts By Employee,TravelRequestDraft,TravelRequestDraftController,Auto-generated OpenAPI description for Get Drafts By Employee,getDraftsByEmployee,/api/travel/drafts/employee/{employeeId}
TravelRequestDraft Module,Get Draft By Id,TravelRequestDraft,TravelRequestDraftController,Auto-generated OpenAPI description for Get Draft By Id,getDraftById,/api/travel/drafts/{id}
TravelRequestDraft Module,Delete Draft,TravelRequestDraft,TravelRequestDraftController,Auto-generated OpenAPI description for Delete Draft,deleteDraft,/api/travel/drafts/{id}
UnifiedAnalytics Module,Get Analytics Hub,UnifiedAnalytics,UnifiedAnalyticsController,Auto-generated OpenAPI description for Get Analytics Hub,getAnalyticsHub,/api/v1/data/metrics/hub
CalcStructure Module,Create Structure,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Create Structure,createStructure,/api/v1/calculations/structures
CalcStructure Module,Update Structure,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Update Structure,updateStructure,/api/v1/calculations/structures/{id}
CalcStructure Module,Update Structure Status,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Update Structure Status,updateStructureStatus,/api/v1/calculations/structures/{id}/status
CalcStructure Module,Delete Structure,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Delete Structure,deleteStructure,/api/v1/calculations/structures/{id}
CalcStructure Module,List Structures,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for List Structures,listStructures,/api/v1/calculations/structures
CalcStructure Module,Get Structure,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Get Structure,getStructure,/api/v1/calculations/structures/{id}
CalcStructure Module,Add Component,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Add Component,addComponent,/api/v1/calculations/structures/{structureId}/components
CalcStructure Module,Update Component,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Update Component,updateComponent,/api/v1/calculations/components/{componentId}
CalcStructure Module,Delete Component,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Delete Component,deleteComponent,/api/v1/calculations/components/{componentId}
CalcStructure Module,Execute Calculation,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Execute Calculation,executeCalculation,/api/v1/calculations/structures/{id}/execute
CalcStructure Module,List Templates,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for List Templates,listTemplates,/api/v1/calculations/templates
CalcStructure Module,Save As Template,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Save As Template,saveAsTemplate,/api/v1/calculations/structures/{id}/save-as-template
CalcStructure Module,Validate Formula,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Validate Formula,validateFormula,/api/v1/calculations/structures/{structureId}/validate-formula
CalcStructure Module,Upload Image,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Upload Image,uploadImage,/api/v1/calculations/upload-image
CalcStructure Module,Process Image,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Process Image,processImage,/api/v1/calculations/process-image
CalcStructure Module,Create Structure From Image,CalcStructure,CalcStructureController,Auto-generated OpenAPI description for Create Structure From Image,createStructureFromImage,/api/v1/calculations/structures/from-image
Grievance Module,Submit Grievance,Grievance,GrievanceController,Auto-generated OpenAPI description for Submit Grievance,submitGrievance,/api/grievances/anonymous
Grievance Module,Get Grievance,Grievance,GrievanceController,Auto-generated OpenAPI description for Get Grievance,getGrievance,/api/grievances/{grievanceId}
Health Module,Health,Health,HealthController,Auto-generated OpenAPI description for Health,health,/health
ModuleAccess Module,Save,ModuleAccess,ModuleAccessController,Auto-generated OpenAPI description for Save,save,/api/v1/module-access/save
ModuleAccess Module,Get Employees,ModuleAccess,ModuleAccessController,Auto-generated OpenAPI description for Get Employees,getEmployees,/api/v1/module-access/module/{moduleKey}
ModuleAccess Module,Get Access,ModuleAccess,ModuleAccessController,Auto-generated OpenAPI description for Get Access,getAccess,/api/v1/module-access/employee/{employeeId}
ModuleAccess Module,Remove Employee,ModuleAccess,ModuleAccessController,Auto-generated OpenAPI description for Remove Employee,removeEmployee,/api/v1/module-access/module/{moduleKey}/employee/{employeeId}
WorkflowEngine Module,Get All Workflows,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Get All Workflows,getAllWorkflows,/api/v1/workflow-engine/all
WorkflowEngine Module,Get Workflow Employees,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Get Workflow Employees,getWorkflowEmployees,/api/v1/workflow-engine/employees
WorkflowEngine Module,Get Workflow Distinct Locations,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Get Workflow Distinct Locations,getWorkflowDistinctLocations,/api/v1/workflow-engine/distinct-locations
WorkflowEngine Module,Get Workflow Distinct Roles,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Get Workflow Distinct Roles,getWorkflowDistinctRoles,/api/v1/workflow-engine/distinct-roles
WorkflowEngine Module,Get Workflow Distinct Departments,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Get Workflow Distinct Departments,getWorkflowDistinctDepartments,/api/v1/workflow-engine/distinct-departments
WorkflowEngine Module,If,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for If,updateWorkflow,/api/v1/workflow-engine/{id}
WorkflowEngine Module,Delete Workflow,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Delete Workflow,deleteWorkflow,/api/v1/workflow-engine/{id}
WorkflowEngine Module,Get Approval Groups,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Get Approval Groups,getApprovalGroups,/api/v1/workflow-engine/approval-groups
WorkflowEngine Module,Create Approval Group,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Create Approval Group,createApprovalGroup,/api/v1/workflow-engine/approval-groups
WorkflowEngine Module,Delete Approval Group,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Delete Approval Group,deleteApprovalGroup,/api/v1/workflow-engine/approval-groups/{id}
WorkflowEngine Module,Is Approver,WorkflowEngine,WorkflowEngineController,Auto-generated OpenAPI description for Is Approver,isApprover,/api/v1/workflow-engine/is-approver/{employeeId}
LeaveAssignment Module,Get Leave Balance,LeaveAssignment,LeaveAssignmentController,Auto-generated OpenAPI description for Get Leave Balance,getLeaveBalance,/api/leaves/balance/{employeeId}
RevisionType Module,Delete,RevisionType,RevisionTypeController,Auto-generated OpenAPI description for Delete,delete,/api/revision-types/{id}
RoleAccess Module,Save Role Data,RoleAccess,RoleAccessController,Auto-generated OpenAPI description for Save Role Data,saveRoleData,/api/v1/roles/save
RoleAccess Module,Get Role Employees,RoleAccess,RoleAccessController,Auto-generated OpenAPI description for Get Role Employees,getRoleEmployees,/api/v1/roles/{roleName}
RoleAccess Module,Check Role,RoleAccess,RoleAccessController,Auto-generated OpenAPI description for Check Role,checkRole,/api/v1/roles/check
